ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Sense_IDs
XV000001,kvw,Tamasingna amidi bo!,,,"We're hungry, so get up there!",,,SN000001 ; SN001296
XV000002,kvw,adeing,,,your name,,,SN000002 ; SN000266
XV000003,kvw,Neta lelèmang laite alegèdar.,,,"I am ready, I am just waiting for you.",,,SN000003 ; SN000643 ; SN000669
XV000004,kvw,Mei noa tadi mita gèwai gèmai.,,,There's a lady that goes around spreading gossip.,,,SN000005 ; SN001307
XV000005,kvw,Aba tapi.,,,That's true.,,,SN000007 ; SN001335
XV000006,kvw,Aba ong mada namèlosi.,,,I don't want to cook with that.,,,SN000007 ; SN000967
XV000007,kvw,"Benny, abaka teya Kalangbas.",,,"Benny, you too will come to Kalabahi with us.",,,SN000008 ; SN001344
XV000008,kvw,Abar ba mona ang tèwai boli.,,,There's a cliff there so we can't go that way.,,,SN000009 ; SN000904
XV000009,kvw,Eta abeli kèdar miilelte.,,,Have a look through the hole in the wall.,,,SN000010 ; SN000544 ; SN000861
XV000010,kvw,HP ba geti abo.,,,The mobile is lying there.,,,SN000011
XV000011,kvw,Ol poko gis gèbak ba abosing boli.,,,That child's body is really blemished.,,,SN000012
XV000012,kvw,Abui gelomu,,,Abui language,,,SN000013 ; SN000752
XV000013,kvw,Aning no sobo abukmang legètati.,,,A person is standing on the roof of the house.,,,SN000014 ; SN000076 ; SN000613
XV000014,kvw,Api ba medi adami derengte.,,,Roast the fish next to the fire first.,,,SN000015 ; SN000084 ; SN000270
XV000015,kvw,Sobo mèna ada gèmantaing.,,,The houses in the village burnt down.,,,SN000016 ; SN001262
XV000016,kvw,Neta ada lewali.,,,I am making a fire.,,,SN000017
XV000017,kvw,Naida ada us kèdeli leyoku kana.,,,I split the firewood into two pieces.,,,SN000018 ; SN000546
XV000018,kvw,Neta ada us pas tèli kana.,,,I tied the firewood together.,,,SN000018 ; SN001098
XV000019,kvw,Ada war medi tèbaku letakte!,,,Light the cigarette with that bit of the fire!,,,SN000019 ; SN000721
XV000020,kvw,adayoku gresing tu,,,thirteen,,,SN000020 ; SN000366
XV000021,kvw,adayoku miyoku gresing no,,,twenty-one,,,SN000020
XV000022,kvw,adi kida,,,just you,,,SN000021 ; SN000472
XV000023,kvw,Neta adi medi.,,,I will pick you up.,,,SN000021 ; SN000819
XV000024,kvw,Adinak ayang kida.,,,The ladder is quite tall.,,,SN000022
XV000025,kvw,adol kèrusi,,,bird's claws,,,SN000023 ; SN000561
XV000026,kvw,Ol poka katepel medi adol legètaing.,,,The child shoots birds with a slingshot.,,,SN000023
