ID,Description,Entry_ID,Antonym,Comment,Grammar_Note,Metathesised_Form,Scientific_Name,Synonym,Usage
SN000001,"2nd person singular prefix of the ""first"" (I) agreement series on verbs",a-,,,,,,,
SN000002,2nd person singular prefix for possessors of inalienably possessed nouns,a-,,,,,,,
SN000003,"2nd person singular prefix of the ""third"" (III) agreement series on verbs",a-,,,This prefix series is mostly found on verbs marked with [le-](le-).,,,,
SN000004,distal deictic prefix that appears on items used in locative and spatial reference,LX000001,,,,,,,
SN000005,enclitic article marking specificity on NPs,LX000002,,,,,,,
SN000006,"suffix marking clause-final verbs, indicating that the event is realized and the clause is a statement of fact",-a,,,"Not all verbs appear to permit this suffix; on some metathesizing verbs, the vowel-final form seems to function as realis mood marking.",,,,
SN000007,that; distal demonstrative contrasting with [oba](oba),aba,,,,,,,
SN000008,"you too, also; 2nd person singular additive pronoun",abaka,,,,,,,
SN000009,"cliff, ravine",abar,,,,,,,
SN000010,wall woven from plant fibres,abeli,,,,,,,
SN000011,there emphatic; distal clause final particle contrasting with [obo](obo),abo,,,,,,,
SN000012,"blemished (of skin), caused, e.g., by lack of washing, scratching or sickness (but not skin diseases such as scabies)",abosing,,,,,,,
SN000013,"Abui, name of a people and their language in central-western Alor",Abui,,,,,,,
SN000014,"top ridge of a roof, only used for this uppermost part",abukmang,,,,,,,
SN000015,fire,ada,,,,,,,
SN000016,"be burnt down, be incinerated",LX000003,,,This is a compound verb with [ada](ada) 'fire'.,,,,
SN000017,collect firewood and make a fire,ada_lewali,,,Compound verb with the noun [ada](ada) 'fire'.,,,,
SN000018,firewood,ada_us,,,,,,,
SN000019,glowing fragment of coal or wood from a fire,ada_war,,,,,,,
SN000020,"ten, multiple of ten",adayoku,,,,,,,
SN000021,2nd person singular oblique pronoun,adi,,,,,,,
SN000022,ladder,adinak,,,,,,,
SN000023,bird,adol,,,,,,,
SN000024,"gourd, typically large fruit with hard skin",adosi,,,,,,,
SN000025,ash from a fireplace or camp fish where humans have been,adur,,,,,,,
SN000026,"2nd person singular prefix of the ""fourth"" (IV) agreement series",ai-,,,,,,,
SN000027,2nd person singular topic pronoun,aida,,,,,,,
SN000028,oh you! exclamation about a 2nd person singular referent,aidaute,,,,,,,
SN000029,aunt who is older than one's parent,-aidem,,,,,,,
SN000030,sweet potato,ailak,,,,,Ipomoea batatas,,
SN000031,fence,ak,,,,,,,
SN000032,"stall, stable, sty; fenced area in which to hold an animal",ak,,,,,,,
SN000033,"week, seven day period",aka,,,,,,,
SN000034,"Sunday, day on which the week ends",aka,,,,,,,
SN000035,fishing rod made of bamboo,akabong,,,,,,,
SN000036,type of sago palm,akal,,,,,Metroxylon sagu,,
SN000037,cat,akamau,,,,,,,
SN000038,"sour, acidic tasting",akar,,,,,,,
SN000039,species of small black fish,akenawaka,,,,,,,
SN000040,black (colour),akeng,,,,,,,
SN000041,"call out, shout",aki,,,,,,,
SN000042,"just that, only that; restrictive distal demonstrative pronoun",akida,,,,,,,
SN000043,dolphin,akoling,,,,,,,
SN000044,"pile, bunch, collection",akumi,,,,akuim,,,
SN000045,"slice, cut thinly",alai,,,,,,,
SN000046,"Umbrella tree, kind of large tropical tree from the Leadwood tree family",alaka,,,,,Terminalia catappa,,
SN000047,"loose, not tight, wobbly (of nail, screws, etc.)",alar,,,,,,,
SN000048,cable,LX000004,,,,,,,
SN000049,"buy, purchase",ali,,,,,,,
SN000050,price (of something encoded as possessor of noun),-ali,,,,,,,
SN000051,bride price,-ali,,,,,,,
SN000052,"price, value (of someone or something, encoded by possessor) that is precisely reckoned",-ali_-damu,,,,,,,
SN000053,brideprice which is made up of gongs and moko drums,-ali_kir,,,,,,,
SN000054,"bargain for a good price, negotiate a price",-ali_ledus,,,,,,,
SN000055,long water container made of three or four joints of bamboo,alo,,,,,,,
SN000056,bark (of a dog),aloi,,,,,,,
SN000057,type of long wooden pestle that is used for pounding rice or maize,alu,,,,,,,
SN000058,"holy, sacred, taboo",aluli,,,,,,,
SN000059,kunai grass used to that thatch houses,ameng,,,,,Imperata cylindrica,,
SN000060,dirt or uncleanliness on the body such as dirt or sweat,ames,,,,,,,
SN000061,breast (of a female),ami,,,,,,,
SN000062,"there; nonfinal form of distal locative demonstrative, pointing to a location that is far from speaker, closer than [ang](ang)",LX000005,,,,,,,
SN000063,"there; final form of distal locative demonstrative, pointing to a location that is far from speaker, closer than [ang](ang)",aming,,,,,,,
SN000064,"milk, esp. breast milk",amira,,,,,,,
SN000065,"be hungry, have hunger",-amsing,,,,,,,
SN000066,"cape, point (of land), isthmus",amuing,,,,,,,
SN000067,"submerge, soak in water",LX000006,,,,amuni,,,
SN000068,"tame, docile, using to be handled (of an animal)",amung,,,,,,,
SN000069,"naughty, stubborn",amutung,,,,,,,
SN000070,"hardworking, industrious, diligent",amutung,,,,,,,
SN000071,whale,anai,,,,,,,
SN000072,"you alone, you by yourself (without companion); 2nd person singular alone pronoun",anasu,,,,,,,
SN000073,"clay plate, tradition pottery plate",ane,,,,,,,
SN000074,"termite, whiteant; insect that eats wood in houses",anekol,,,,,,,
SN000075,"over there; locative deictic pointing to a location that is far from speaker and addressee, further than [ami](LX000005)",ang,,,,,,,
SN000076,person,aning,,,,,,,
SN000077,"someone, indefinite pronoun for humans",aning,,,,,,,
SN000078,"human, person",aningkang,,,,,,,
SN000079,"or, used to connect words that are to be taken as alternatives.",anta,,,,,,,
SN000080,so; clause-initial particle that is used to refer back to the previous discourse,ante,,,,,,,
SN000081,"keep putting off, postponing, delay",ante_pante,,,,,,,
SN000082,lower part (something),apa,,,,,,,
SN000083,"evening, late afternoon, roughly from 3pm until sunset",apaweri,,,,,,,
SN000084,fish,api,,,,,,,
SN000085,catch fish,LX000007,,,,,,,
SN000086,"fresh fish, fish just fished out of the sea",api_pura,,,,,,,
SN000087,star (generic),apikal,,,,,,,
SN000088,"just that, only that; restrictive distal demonstrative pronoun",apokida,,,,,,,
SN000089,"break, burst, crack (of hard objects like glasses, pipes etc.)",arabung,,,,,,,
SN000090,rice plant,arak,,,,,Oryza sativa,,
SN000091,rice ear bug,arak_poting,,,,,Leptocorisa oratorius,,
SN000092,"panicle, head of rice",LX000008,,,,,,,
SN000093,to put down on a cloth or a cushion to soften a surface before lying or sitting on it,arakang,,,,,,,
SN000094,"unhusked rice, rice grain",arakes,,,,,,,
SN000095,"family, lineage group",aram,,,,,,,
SN000096,"do with great difficulty, have trouble (doing something)",LX000009,,,,,,,
SN000097,four,arasoku,,,,,,,
SN000098,"bury, intern, put a (body) in the ground",areing,,,,areni,,,
SN000099,"squeeze, massage",aresi,,,,areis,,,
SN000100,"rub, sand down, make smooth",aros,,,,,,,
SN000101,wind that comes from the southeast,arub,,,,,,,
SN000102,sibling of the opposite sex to speaker (ego) who is younger,arudi,,,,,,,
SN000103,"dry, not wet (of items meant to be free of moisture)",aruk,,,,,,,
SN000104,"dry place, dry land",aruk-aruk,,,,,,,
SN000105,deer,arus_pei,,,,,Rusa timorensis,,
SN000106,coastal landscape feature with sand,asa,,,Only found in two compounds.,,,,
SN000107,sandy sea floor,asa_beleng,,,,,,,
SN000108,sea where the bottom is sandy up until the coral fringe [ser](LX000247),asa_luk,,,,,,,
SN000109,"cliff, steep slope or rock face",aser,,,,,,,
SN000110,series of steep rock faces one upon the other,aser_letati,,,,,,,
SN000111,"head in an direction upwards, e.g., up a moutain",LX000010,,,,,,,
SN000112,sneeze,asiding,,,,,,,
